Embedding Model,Prompt,Top k,F1 Score,Exact Match,Faithfulness,Context Recall,Context Precision,Answer Relevancy
all_MiniLM_L6_v2,basic,10,50.243823367522076,39.651416122004356,0.9166666666666666,0.8421052631578947,nan,0.7997814450712123
all_MiniLM_L6_v2,basic,3,47.47837788653732,37.690631808278866,0.7570204230488694,0.6129266521423385,0.7176481278929072,0.7108928782640586
all_MiniLM_L6_v2,basic,5,49.467301030878794,39.32461873638344,0.96875,0.7272727272727273,0.9166666665958333,0.7898801723177926
all_MiniLM_L6_v2,cot,10,42.4271519422115,31.48148148148148,0.7352941176470589,0.8333333333333334,nan,0.7277640596407612
all_MiniLM_L6_v2,cot,3,37.569828585218815,27.124183006535947,0.875,0.5652173913043478,0.8333333332630952,0.6280836002677956
all_MiniLM_L6_v2,cot,5,39.36754334551793,28.758169934640524,0.5952380952380951,0.5625,0.24166666665268519,0.5410998678180221
all_MiniLM_L6_v2,persona,10,44.90995242451994,33.66013071895425,0.775,0.7272727272727273,nan,0.6623430804694992
all_MiniLM_L6_v2,persona,3,41.96090007732278,31.372549019607842,0.8269230769230769,0.6666666666666666,0.7857142856428572,0.7396146806051166
all_MiniLM_L6_v2,persona,5,43.41038602025111,32.35294117647059,0.9583333333333334,0.6521739130434783,0.7638888888173611,0.7573535710625964
all_mpnet_base_v2,basic,10,48.442929301424826,38.23529411764706,0.6470588235294118,0.55,nan,0.6719555558848745
all_mpnet_base_v2,basic,3,48.59981627354959,38.77995642701525,0.6,0.6470588235294118,0.8333333332694445,0.7608058106244003
all_mpnet_base_v2,basic,5,48.43995124960509,38.671023965141615,0.55,0.6666666666666666,0.33333333332666665,0.7170646503222565
all_mpnet_base_v2,cot,10,42.18885935348839,31.48148148148148,0.85,0.782608695652174,nan,0.6092759376855639
all_mpnet_base_v2,cot,3,39.72345412043574,29.73856209150327,0.7435897435897435,0.55,0.9999999999145833,0.5040623281626897
all_mpnet_base_v2,cot,5,39.62853832718259,29.41176470588235,0.7727272727272727,0.6842105263157895,0.6904761904245238,0.607450858932156
all_mpnet_base_v2,persona,10,44.59180259525789,33.44226579520697,0.725,0.6818181818181818,nan,0.641414588859115
all_mpnet_base_v2,persona,3,42.68654934975181,32.6797385620915,0.9,0.7222222222222222,0.9259259258435184,0.7856526584146707
all_mpnet_base_v2,persona,5,43.059448352210694,32.35294117647059,0.8589743589743589,0.6,0.8380952380328571,0.7447410876101261
